ID,선수명,데뷔년도,팀명,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),포지션(수비),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,출생연도,출생월,출생일,나이,연봉,1차FA여부,2차FA여부,3차FA여부
74158,김태완,2000,LG,2010,0.254,72,162,142,21,36,11,0,4,59,19,3,2,13,0,2,34,1,0.415,0.321,0.736,8,0.219,0.0,15,30,44,0,3.8,0.162,19.3,0.248,72,2,0,2,0.0,0,0,2루수,73,40,381.6666666666666,3,0,71,108,25,0,0,0,0.976273362445415,0.0,0.577,0.0,0.102184087,0.411089919,0,374,0.9703331467646472,1981,9,19,30,5119.7989801197255,0.0,0.0,0.0
74158,김태완,2000,LG,2011,0.252,76,246,202,26,51,12,0,6,81,29,10,1,31,0,2,37,7,0.401,0.356,0.757,13,0.333,0.25,18,61,54,0,4.14,0.149,29.7,0.26,76,5,4,1,80.0,0,0,2루수,90,67,563.0,5,0,142,174,42,0,0,0,0.9860556542332742,0.0,1.439,0.0,0.0507674144,0.461857333,0,620,0.552242707738531,1981,9,19,31,7624.213495335214,0.0,0.0,0.0
74158,김태완,2000,LG,2012,0.22,58,168,141,16,31,5,0,2,42,14,7,1,17,0,2,21,4,0.298,0.311,0.609,6,0.15,0.0,7,44,46,0,3.77,0.078,13.7,0.214,58,1,0,1,0.0,0,0,2루수,65,42,383.0,3,0,74,133,23,0,0,0,0.9813524804177546,0.0,0.24,0.0,0.0386565272,0.50051386,0,788,1.307674426986016,1981,9,19,32,7526.3136422976495,0.0,0.0,0.0
74158,김태완,2000,삼성,2013,0.272,83,189,162,19,44,10,0,6,72,19,0,3,22,1,2,31,5,0.444,0.36,0.804,10,0.29,0.455,16,39,51,0,4.08,0.173,26.2,0.273,83,2,1,1,50.0,0,0,2루수,80,46,408.6666666666667,4,0,110,108,27,0,0,0,0.9714518760195758,0.0,1.336,0.0,0.0708359923,0.571349853,0,977,0.7625539056113338,1981,9,19,33,10616.528026747768,0.0,0.0,0.0
74158,김태완,2000,삼성,2014,0.347,65,108,95,14,33,7,0,2,46,15,1,0,8,0,4,17,4,0.484,0.421,0.905,9,0.412,0.346,9,22,23,0,4.0,0.137,16.8,0.31,65,0,0,0,0.0,3,0,3루수,44,14,179.66666666666666,0,0,18,35,6,0,0,0,1.0,0.0,0.851,0.0,0.0200966675,0.59144652,0,1085,0.8467845032120538,1981,9,19,34,6325.2,0.0,0.0,0.0
74158,김태완,2000,삼성,2015,0.0,4,6,5,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0.167,0.167,0,0.0,0.0,0,0,3,0,6.33,0.0,-0.1,0.075,4,0,0,0,0.0,0,0,2루수,1,1,9.0,0,0,0,6,0,0,0,0,1.0,0.0,-0.037,0.0,0.00803011292,0.599476633,0,1091,0.0,1981,9,19,35,6264.434980687333,0.0,0.0,0.0
63920,김준완,2013,NC,2014,0.5,6,5,4,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0.5,0.6,1.1,0,0.0,1.0,0,1,0,0,5.4,0.0,1.3,0.395,6,1,1,0,100.0,0,0,우익수,3,0,7.0,0,0,2,1,1,0,0,0,1.0,0.0,0.153,0.0,0.00152632918,0.00535530174,0,10,0.0,1991,1,20,24,3162.6,0.0,0.0,0.0
63920,김준완,2013,NC,2015,0.227,30,54,44,12,10,0,0,0,10,2,0,0,10,0,0,10,1,0.227,0.37,0.597,2,0.273,0.0,0,15,9,0,4.26,0.0,4.9,0.223,30,3,2,1,66.7,0,1,중견수,30,10,112.0,1,0,31,1,0,0,0,0,0.9754107142857142,0.0,0.211,0.0,0.0454203262,0.0507756279,0,64,0.0,1991,1,20,25,3132.2174903436667,0.0,0.0,0.0
63920,김준완,2013,NC,2016,0.261,122,325,253,60,66,7,1,1,78,12,2,1,66,0,2,62,4,0.308,0.416,0.724,17,0.179,0.0,9,86,40,0,4.53,0.047,39.5,0.264,122,7,2,5,28.6,2,0,중견수,133,59,659.6666666666666,1,0,141,2,0,0,0,0,0.9917832238504296,0.0,1.196,0.0,0.0843920145,0.135167642,0,389,0.0,1991,1,20,26,7169.338385310405,0.0,0.0,0.0
63920,김준완,2013,NC,2019,0.25,8,19,16,0,4,0,0,0,4,1,0,1,2,0,0,2,0,0.25,0.316,0.566,1,0.0,0.0,0,5,6,0,4.42,0.0,2.0,0.205,8,0,0,0,0.0,0,1,우익수,7,4,38.333333333333336,0,0,7,0,0,0,0,0,0.6782608695652174,0.0,-0.132,0.0,0.00713648528,0.209134293,0,552,0.0,1991,1,20,29,8000.0,0.0,0.0,0.0
