데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),연봉,WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수
1996,2006,0.27,56,173,148,16,40,6,0,4,58,20,9,1,14,0,1,29,5,0.392,0.335,0.727,12,0.283,0.0,10,34,46,0,3.69,0.122,18.5,0.249,56,2,0,2,0.0,0,0,61,51,382.0,2,0,103,100,18,0,0,0,0.9837242582897032,0.0,8000,0.82,1,0.0269121813,0.261104101,0,1169,0.7940997467256082,1973,6,5,34,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2006,2018,0.318,118,494,443,74,141,21,0,17,213,66,2,6,35,3,8,68,10,0.481,0.374,0.855,45,0.283,0.25,38,117,123,8,3.59,0.163,76.4,0.289,118,11,8,3,72.7,3,1,124,106,928.6666666666666,1,0,206,4,1,0,0,0,0.993697056712132,0.0,200000,2.813,1,0.165337586,2.452515373,0,4046,0.0,1987,3,10,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2004,2017,0.293,91,331,283,34,83,18,1,7,124,50,2,7,36,1,3,52,6,0.438,0.371,0.809,19,0.292,0.0,26,49,106,5,4.18,0.145,48.7,0.276,91,8,7,1,87.5,4,2,91,81,688.0,9,0,112,262,52,0,0,0,0.977,0.0,125000,2.739,1,0.164929491,1.438893729,0,2983,0.0,1985,3,21,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1996,2009,0.277,93,293,260,32,72,12,3,7,111,35,3,2,28,0,0,42,12,0.427,0.345,0.772,18,0.294,0.4,22,83,65,0,3.9,0.15,35.6,0.262,93,3,2,1,66.7,0,0,36,30,231.66666666666663,0,0,179,9,15,0,0,0,1.0,0.0,21000,0.413,1,0.014973262,0.324131308,0,2661,0.6550239908788728,1973,11,27,37,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1996,2006,0.27,119,510,441,76,119,16,0,16,183,53,12,1,43,1,13,69,10,0.415,0.351,0.766,32,0.298,0.0,32,122,132,0,3.57,0.145,65.1,0.262,119,11,8,3,72.7,0,0,171,117,990.3333333333334,3,0,208,4,2,0,0,0,0.9870316391787276,0.0,60000,3.208,1,0.0439093484,0.772901158,0,2461,0.0,1973,3,2,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2006,2018,0.362,117,511,453,95,164,39,2,20,267,101,0,10,47,6,1,61,9,0.589,0.415,1.004,48,0.419,0.0,61,136,102,8,3.66,0.227,99.3,0.334,117,4,1,3,25.0,5,0,143,116,971.0,5,0,515,40,40,0,0,0,0.9948757294884998,0.0,287500,5.561,1,0.898989899,5.907536188,0,5280,0.9966578607515006,1988,1,12,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2002,2016,0.25,8,5,4,1,1,1,0,0,2,1,0,0,1,0,0,1,0,0.5,0.4,0.9,0,0.5,0.333,1,0,2,0,4.8,0.25,0.8,0.305,8,0,0,0,0.0,0,0,4,0,7.0,0,0,3,2,0,0,0,0,1.0,0.0,25000,0.05,1,0.0235934664,1.933484438,0,2727,0.863120568566631,1984,2,8,33,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,2018,0.296,142,588,530,76,157,41,3,25,279,88,2,3,49,1,4,120,5,0.526,0.358,0.884,48,0.252,0.5,69,79,177,7,3.96,0.23,95.7,0.293,142,21,14,7,66.7,8,0,141,132,1132.3333333333333,17,0,169,229,41,0,0,0,0.9485498969679128,0.0,220000,3.217,1,0.416267943,2.380179704,0,5279,0.4066456761297287,1987,7,28,32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1996,2012,0.255,102,274,235,30,60,10,1,6,90,38,3,6,28,1,2,49,5,0.383,0.332,0.715,15,0.302,0.2,17,70,62,0,3.89,0.128,32.8,0.245,102,8,5,3,62.5,0,0,94,58,514.3333333333333,2,0,192,7,15,0,0,0,0.9964303305249516,0.0,22500,1.114,1,0.0221799747,0.282693784,0,2131,0.7417058087058701,1978,1,12,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2000,2016,0.336,110,460,408,70,137,22,0,14,201,64,0,3,47,1,2,40,10,0.493,0.404,0.897,43,0.319,0.0,36,120,114,4,3.92,0.157,76.2,0.305,110,5,4,1,80.0,3,0,104,93,758.6666666666666,1,0,169,9,0,0,0,0,0.9945694200351494,0.0,150000,3.44,1,0.198729583,0.77230423,0,3753,0.0372859941967426,1981,7,1,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2000,2020,0.28,119,428,386,48,108,17,0,11,158,64,1,1,40,2,0,51,9,0.409,0.347,0.756,25,0.309,0.278,28,113,115,8,3.91,0.13,53.2,0.258,119,0,0,0,0.0,2,0,21,17,129.66666666666669,0,0,27,1,0,0,0,0,1.0,0.0,100000,0.509,1,0.174358974,1.209821143,0,5720,0.0,1981,7,1,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1994,2005,0.302,95,392,351,43,106,17,1,6,143,42,3,3,31,0,4,50,5,0.407,0.362,0.769,30,0.31,0.25,24,110,88,0,3.89,0.105,52.1,0.265,95,10,7,3,70.0,0,0,93,85,672.0,0,0,124,4,0,0,0,0,1.0,0.0,22500,2.117,1,0.162995595,0.259351823,0,1702,0.0,1971,4,8,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1991,2003,0.25,122,428,336,49,84,16,2,15,149,60,21,3,59,2,9,93,8,0.443,0.373,0.816,19,0.265,0.0,33,65,97,0,4.16,0.193,58.4,0.279,122,12,6,6,50.0,0,0,120,106,924.3333333333334,9,1,637,71,10,11,74,45,0.987,37.8,63333,3.349,1,0.062248996,0.316965977,0,826,0.0,1972,7,11,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1991,2007,0.247,119,437,352,60,87,21,1,15,155,60,11,9,55,4,10,68,9,0.44,0.357,0.797,22,0.228,0.0,37,84,122,0,4.08,0.193,60.7,0.271,119,9,6,3,66.7,0,0,120,108,929.3333333333334,4,0,561,62,9,1,58,35,0.994012912482066,37.51908177905309,50000,3.936,1,0.211055276,1.255539249,1,2594,0.0221758358596529,1972,7,11,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
