ID,선수명,연도,뉴스개수
95114,심재학,2006,8
74163,이용규,2006,93
92304,이재주,2006,7
93607,이종범,2006,135
72606,이현곤,2006,32
96610,장성호,2006,84
98533,조경환,2006,16
73602,차일목,2006,0
99554,한규식,2006,5
70626,홍세완,2006,21
95158,권용관,2006,17
72108,김우석,2006,1
93112,김정민,2006,26
95549,마해영,2006,29
75174,박가람,2006,1
73113,박경수,2006,14
74103,박기남,2006,24
75125,박병호,2006,16
72133,박용택,2006,44
94162,서용빈,2006,39
95666,안상준,2006,6
97157,안재만,2006,8
72161,안치용,2006,0
72169,오태근,2006,11
73153,이대형,2006,11
97109,이병규,2006,225
97109,이병규,2006,225
76100,이병규,2006,84
76100,이병규,2006,84
73136,이성열,2006,3
91015,이종열,2006,9
74148,이시찬,2006,0
75151,정의윤,2006,24
98144,조인성,2006,44
70649,최길성,2006,18
94132,최동수,2006,8
97351,최만호,2006,4
70122,최승환,2006,2
72139,추승우,2006,4
76404,황선일,2006,0
71837,김강민,2006,21
71806,김동건,2006,11
76802,김성현,2006,4
72850,김재구,2006,6
94107,김재현,2006,32
94415,김태균,2006,47
73827,김형철,2006,0
92809,박경완,2006,42
71857,박재상,2006,22
96362,박재홍,2006,69
73856,양승학,2006,0
72860,이대수,2006,15
76812,이재원,2006,15
99810,이진영,2006,98
96441,정경배,2006,3
75808,정근우,2006,93
71848,조동화,2006,8
71835,조중근,2006,4
73824,최경철,2006,0
75847,최정,2006,39
98420,강동우,2006,11
95712,강인권,2006,2
72214,고영민,2006,25
98218,김동주,2006,211
73604,김주호,2006,3
98540,김진수,2006,9
76290,김현수,2006,0
73209,나주환,2006,15
97219,문희성,2006,8
76249,민병헌,2006,4
73213,손시헌,2006,43
74256,송수,2006,1
92207,안경현,2006,37
74223,용덕한,2006,5
74215,윤석민,2006,54
75266,윤승균,2006,0
76231,이승엽,2006,706
73339,이종욱,2006,81
75244,이호성,2006,1
99507,임재철,2006,18
70303,장교성,2006,3
92211,장원진,2006,11
91465,전상렬,2006,2
70240,정원석,2006,15
76267,최주환,2006,9
71552,최준석,2006,59
99222,홍성흔,2006,78
74540,강민호,2006,34
76509,김문호,2006,2
95468,김승관,2006,9
70553,박기혁,2006,32
71815,박준서,2006,0
98130,박연수,2006,1
73543,박정준,2006,9
74565,박진환,2006,1
95518,박현승,2006,13
76536,손용석,2006,2
98538,손인호,2006,8
71504,신명철,2006,22
71564,이대호,2006,344
75554,이동훈,2006,0
76553,이승재,2006,2
99229,이승준,2006,7
71565,이우민,2006,0
75566,이원석,2006,12
73513,정보명,2006,11
95208,정수근,2006,55
70117,최경환,2006,9
76556,추경식,2006,2
76562,황동채,2006,0
73409,강명구,2006,17
70224,강봉규,2006,5
96503,김대익,2006,5
73438,김영복,2006,0
95409,김재걸,2006,8
94539,김종훈,2006,8
97644,김창희,2006,21
94450,김한수,2006,29
70408,박정환,2006,2
92906,박종호,2006,14
96307,박진만,2006,231
71432,박한이,2006,78
94204,심정수,2006,63
93410,양준혁,2006,186
74402,이정식,2006,5
72448,이태호,2006,4
72466,조동찬,2006,79
75441,조영훈,2006,16
97202,진갑용,2006,47
74745,고동진,2006,41
91523,김민재,2006,33
96777,김수연,2006,6
90811,김인철,2006,7
71752,김태균,2006,184
76746,김태완,2006,3
75705,백승룡,2006,3
97709,백재호,2006,4
76753,송광민,2006,3
98742,신경현,2006,17
96722,심광호,2006,33
76743,연경흠,2006,14
75736,오재필,2006,0
93225,이도형,2006,21
70756,이범호,2006,159
96766,임수민,2006,0
76720,정범모,2006,0
94836,조원우,2006,19
73703,한상훈,2006,58
72312,강귀태,2006,16
72325,강병식,2006,26
76325,강정호,2006,5
90419,김동수,2006,44
95710,김승권,2006,12
98504,서한규,2006,2
96761,송지만,2006,31
74339,유한준,2006,13
94310,이숭용,2006,32
73342,이택근,2006,91
70364,전근표,2006,9
91511,전준호,2006,54
99606,정성훈,2006,44
97350,정수성,2006,4
74358,조평호,2006,1
73306,지석훈,2006,3
75307,차화준,2006,17
98315,채종국,2006,5
75344,허준,2006,0
96723,홍원기,2006,19
77632,권윤민,2007,18
99614,김경진,2007,3
70612,김상훈,2007,51
77609,김연훈,2007,9
71207,김원섭,2007,34
75662,김정수,2007,16
96616,김종국,2007,23
74605,김주형,2007,41
97103,손지환,2007,41
75612,송산,2007,18
95114,심재학,2007,21
76656,유재원,2007,0
77600,이강서,2007,1
74163,이용규,2007,65
92304,이재주,2007,32
93607,이종범,2007,161
72606,이현곤,2007,165
77648,이호신,2007,5
96610,장성호,2007,247
98533,조경환,2007,18
73602,차일목,2007,2
75608,최훈락,2007,5
77623,최희섭,2007,527
99554,한규식,2007,3
70626,홍세완,2007,47
95158,권용관,2007,25
70646,김상현,2007,93
72131,김용우,2007,5
95549,마해영,2007,61
73113,박경수,2007,33
72154,박영복,2007,1
77104,박용근,2007,12
72133,박용택,2007,121
98538,손인호,2007,9
97157,안재만,2007,6
72161,안치용,2007,4
70608,양현석,2007,5
72169,오태근,2007,9
73153,이대형,2007,233
73136,이성열,2007,8
91015,이종열,2007,35
75151,정의윤,2007,32
98144,조인성,2007,94
94132,최동수,2007,63
76158,최승준,2007,1
70122,최승환,2007,6
72139,추승우,2007,5
76404,황선일,2007,11
99210,강혁,2007,4
71837,김강민,2007,89
71806,김동건,2007,3
76868,김용섭,2007,1
72850,김재구,2007,2
94107,김재현,2007,82
94415,김태균,2007,83
73827,김형철,2007,12
73209,나주환,2007,54
92809,박경완,2007,126
98130,박연수,2007,2
71857,박재상,2007,91
96362,박재홍,2007,58
74846,박정권,2007,26
76812,이재원,2007,35
99810,이진영,2007,101
94629,이호준,2007,144
96441,정경배,2007,34
75808,정근우,2007,298
71842,정상호,2007,23
71848,조동화,2007,163
98315,채종국,2007,9
75847,최정,2007,101
98420,강동우,2007,12
72214,고영민,2007,265
98218,김동주,2007,411
98540,김진수,2007,16
76290,김현수,2007,111
74246,김혜겸,2007,2
76249,민병헌,2007,153
92207,안경현,2007,73
95666,안상준,2007,11
76232,양의지,2007,1
77248,오재원,2007,29
72220,유재웅,2007,15
74215,윤석민,2007,94
98808,윤재국,2007,12
72860,이대수,2007,152
77242,이두환,2007,8
73339,이종욱,2007,291
92211,장원진,2007,17
91465,전상렬,2007,9
70240,정원석,2007,8
72742,채상병,2007,62
76267,최주환,2007,0
71552,최준석,2007,168
99222,홍성흔,2007,168
74540,강민호,2007,136
76509,김문호,2007,11
77564,김민성,2007,4
95468,김승관,2007,16
70410,김주찬,2007,66
72546,문규현,2007,7
70553,박기혁,2007,22
71815,박준서,2007,0
71562,박종윤,2007,1
95518,박현승,2007,58
74564,서정호,2007,4
77532,손아섭,2007,0
76536,손용석,2007,23
71564,이대호,2007,597
75554,이동훈,2007,0
71565,이우민,2007,0
75566,이원석,2007,53
73563,이인구,2007,18
77552,이창석,2007,4
73513,정보명,2007,59
95208,정수근,2007,162
70117,최경환,2007,23
96224,최기문,2007,4
70649,최길성,2007,24
97351,최만호,2007,11
76515,홍유택,2007,1
76562,황동채,2007,0
73409,강명구,2007,16
70224,강봉규,2007,24
96503,김대익,2007,12
95409,김재걸,2007,39
94539,김종훈,2007,14
97644,김창희,2007,19
94450,김한수,2007,52
70408,박정환,2007,11
92906,박종호,2007,22
96307,박진만,2007,114
71432,박한이,2007,94
75442,손승현,2007,1
71504,신명철,2007,77
94204,심정수,2007,291
93410,양준혁,2007,517
75404,유용목,2007,2
76435,이여상,2007,14
74402,이정식,2007,14
72448,이태호,2007,6
72466,조동찬,2007,64
75441,조영훈,2007,39
97202,진갑용,2007,67
77463,채태인,2007,74
72427,현재윤,2007,12
74745,고동진,2007,72
77733,김강,2007,1
75739,김동영,2007,0
91523,김민재,2007,36
96777,김수연,2007,14
90811,김인철,2007,9
71752,김태균,2007,321
76746,김태완,2007,21
75705,백승룡,2007,1
97709,백재호,2007,8
77708,서정,2007,15
76753,송광민,2007,4
98742,신경현,2007,21
96722,심광호,2007,18
76743,연경흠,2007,25
93225,이도형,2007,22
70756,이범호,2007,156
96734,이영우,2007,41
75706,전현태,2007,0
76720,정범모,2007,0
75762,정희상,2007,3
94836,조원우,2007,17
73703,한상훈,2007,29
72312,강귀태,2007,21
72325,강병식,2007,16
76325,강정호,2007,3
73363,권도영,2007,1
77314,김남형,2007,23
90419,김동수,2007,58
97300,김일경,2007,37
98504,서한규,2007,7
96761,송지만,2007,27
70312,오윤,2007,6
75392,유덕형,2007,1
76322,유선정,2007,0
74339,유한준,2007,32
94310,이숭용,2007,58
74346,이승주,2007,0
73342,이택근,2007,141
70364,전근표,2007,0
91511,전준호,2007,111
99606,정성훈,2007,85
97350,정수성,2007,9
71835,조중근,2007,14
74358,조평호,2007,2
