데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,연봉,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수
1996,2006,0.283,115,452,382,54,108,22,1,11,165,65,2,5,56,0,7,74,6,0.432,0.38,0.812,26,0.295,0.0,34,83,122,0,4.28,0.149,65.5,0.279,115,16,10,6,62.5,0,0,115,115,940.6666666666666,8,0,155,293,53,0,0,0,0.982,0.0,4.899,0.327195467,1.268805446,2,2272,0.0,97500,1976,11,30,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1996,2007,0.312,100,400,333,34,104,25,0,7,150,56,5,5,53,2,4,38,5,0.45,0.408,0.858,29,0.347,0.0,32,85,111,0,4.11,0.138,62.5,0.296,100,8,5,3,62.5,0,0,98,97,798.0,12,0,131,298,55,0,0,0,0.973,0.0,4.42,0.190954774,1.459760219,1,2672,0.0,97500,1976,11,30,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1996,2008,0.244,104,391,332,28,81,12,3,5,114,38,9,3,44,0,3,50,9,0.343,0.335,0.678,20,0.247,0.0,20,84,120,0,3.91,0.099,40.2,0.237,104,9,5,4,55.6,0,0,103,100,818.0,9,0,164,318,64,0,0,0,0.982,0.0,1.765,0.184383819,1.644144038,0,3063,0.0,120000,1976,11,30,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1996,2009,0.256,76,258,223,22,57,11,0,6,86,29,3,4,25,0,3,31,8,0.386,0.333,0.719,11,0.238,0.4,17,65,74,0,3.92,0.13,29.6,0.246,76,3,2,1,66.7,0,0,70,66,511.6666666666667,5,0,90,152,36,0,0,0,0.98,0.0,0.958,0.121925134,1.766069173,0,3321,0.0,60000,1976,11,30,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1996,2010,0.237,46,161,131,14,31,5,1,1,41,14,3,2,24,0,1,27,1,0.313,0.354,0.667,6,0.179,0.0,7,29,46,0,3.96,0.076,17.4,0.238,46,3,1,2,33.3,0,0,45,42,341.0,12,0,55,126,29,0,0,0,0.934615835777126,0.0,0.604,0.0491419657,1.815211138,0,3482,0.4864130992609787,25000,1976,11,30,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1996,2011,0.28,100,340,282,42,79,18,0,6,115,39,15,4,34,2,5,44,6,0.408,0.363,0.771,15,0.324,0.25,24,58,105,0,3.84,0.128,42.9,0.265,100,11,6,5,54.5,0,0,101,86,742.6666666666666,11,0,160,216,47,0,0,0,0.9700305206463192,0.0,2.207,0.0519480519,1.86715919,0,3822,0.9150571231652158,25000,1976,11,30,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1996,2012,0.21,57,161,138,12,29,7,1,5,53,19,8,1,14,0,0,27,2,0.384,0.281,0.665,7,0.22,0.0,13,28,55,0,4.11,0.174,16.2,0.222,57,4,3,1,75.0,0,0,59,48,366.6666666666667,0,0,134,101,32,0,0,0,1.0,0.0,0.618,0.0513307985,1.918489989,0,3983,0.9054032300482884,20000,1976,11,30,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1996,2013,0.25,100,326,276,25,69,14,1,3,94,24,5,3,37,0,5,47,6,0.341,0.346,0.687,13,0.264,0.1,18,70,93,0,4.22,0.091,34.6,0.241,100,7,3,4,42.9,0,0,97,81,642.3333333333334,9,0,103,229,54,0,0,0,0.973505448884276,0.0,1.404,0.0357370772,1.954227066,0,4309,0.4649480532325083,20000,1976,11,30,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1996,2014,0.25,19,35,32,3,8,1,0,0,9,2,1,0,2,0,0,8,0,0.281,0.294,0.575,2,0.2,0.0,1,8,8,0,4.74,0.031,2.4,0.203,19,1,0,1,0.0,0,0,17,8,77.33333333333334,0,0,13,25,3,0,0,0,1.0,0.0,0.027,0.0317985245,1.98602559,0,4344,1.0825717642998982,15000,1976,11,30,39,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2005,2005,0.247,45,93,85,6,21,5,0,1,29,11,1,0,5,0,2,27,3,0.341,0.304,0.645,5,0.28,0.238,6,22,15,0,3.78,0.094,7.9,0.222,45,0,0,0,0.0,0,0,32,13,125.33333333333334,1,0,83,8,6,0,0,0,0.9756781914893616,0.0,0.149,0.0704845815,0.0704845815,0,93,0.977173042332137,2400,1987,2,28,19,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
