데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,연봉,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수
1999,2011,0.143,20,33,28,2,4,3,0,0,7,4,1,1,3,0,0,8,0,0.25,0.219,0.469,1,0.2,0.0,3,11,6,0,3.94,0.107,1.9,0.161,20,0,0,0,0.0,0,0,20,7,86.66666666666667,1,1,80,10,3,0,9,6,0.989,40.0,-0.096,0.00531286895,0.0310620753,0,219,0.0,3300,1980,8,15,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1999,2012,0.223,81,144,130,9,29,3,1,0,34,7,7,0,6,0,1,32,0,0.262,0.263,0.525,5,0.179,0.0,4,40,29,0,3.22,0.038,8.9,0.184,81,2,1,1,50.0,0,0,80,41,402.0,3,0,329,24,9,3,53,13,0.992,19.7,0.006,0.0373891001,0.0684511754,0,363,0.0,3300,1980,8,15,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1999,2013,0.245,38,65,53,6,13,2,1,0,17,5,5,1,4,0,2,17,0,0.321,0.317,0.638,0,0.063,0.0,3,12,12,0,3.78,0.075,6.0,0.223,38,1,0,1,0.0,0,0,38,20,189.66666666666663,2,1,126,17,3,1,20,9,0.986,31.0,0.104,0.0172303765,0.0856815519,0,428,0.0,5000,1980,8,15,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1999,2014,0.214,117,334,290,36,62,11,0,4,85,39,16,1,22,0,5,67,7,0.293,0.28,0.573,11,0.259,0.0,15,82,80,5,3.62,0.079,23.8,0.199,117,6,4,2,66.7,0,0,116,99,824.3333333333334,3,0,605,50,8,7,67,30,0.995,30.9,-0.018,0.053167133,0.138848685,1,762,0.0,9000,1980,8,15,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1999,2015,0.208,109,215,183,23,38,7,1,3,56,19,9,1,14,0,8,55,1,0.306,0.291,0.597,6,0.2,0.0,11,43,48,2,3.88,0.098,18.5,0.207,109,4,3,1,75.0,5,0,109,58,545.3333333333334,5,0,442,33,1,6,38,17,0.99,30.899999999999995,-0.078,0.0145545797,0.153403265,0,977,0.0,9000,1980,8,15,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1999,2016,0.156,29,52,45,3,7,2,0,0,9,2,2,0,4,0,1,16,0,0.2,0.24,0.44,0,0.091,1.0,2,12,10,0,4.08,0.044,2.2,0.158,29,0,0,0,0.0,3,0,29,11,125.33333333333331,2,1,105,9,1,1,4,5,0.983,55.6,-0.411,0.0190562613,0.172459526,0,1029,0.0,10000,1980,8,15,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1999,2003,0.0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1,2,0,3.33,0.0,-0.3,0.0,2,0,0,0,0.0,0,0,2,0,9.0,0,0,1,0,0,0,0,0,1.0,0.0,-0.144,0.0,0.0,0,3,0.0,2000,1980,5,26,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1999,2004,0.171,23,45,41,0,7,1,0,0,8,5,0,0,4,0,0,10,0,0.195,0.244,0.439,1,0.182,0.0,1,16,8,0,3.44,0.024,2.1,0.159,23,1,1,0,100.0,0,0,19,12,92.0,1,0,13,18,6,0,0,0,0.9769565217391304,0.0,-0.212,0.0145985401,0.0145985401,0,48,0.9832307535844342,2100,1980,5,26,25,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,2005,0.375,20,8,8,1,3,1,0,0,4,1,0,0,0,0,0,1,0,0.5,0.375,0.875,1,1.0,1.0,1,3,1,0,2.63,0.125,1.3,0.294,20,0,0,0,0.0,0,0,15,2,33.0,1,0,5,15,1,0,0,0,0.9431515151515152,0.0,0.082,0.0,0.0145985401,0,56,0.6136190195993708,2200,1980,5,26,26,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1999,2006,0.149,60,51,47,11,7,1,0,0,8,1,2,0,2,0,0,12,1,0.17,0.184,0.354,1,0.1,0.0,1,17,11,0,4.12,0.021,0.8,0.125,60,2,2,0,100.0,0,0,49,14,160.33333333333331,2,0,29,27,3,0,0,0,0.9550997920997922,0.0,-0.376,0.0,0.0145985401,0,107,1.275973959794776,2200,1980,5,26,27,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1999,2007,0.0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0.0,0,2,1,0,3.0,0.0,-0.6,0.0,2,0,0,0,0.0,0,0,2,1,8.0,0,0,1,2,1,0,0,0,1.0,0.0,-0.068,0.0201005025,0.0346990426,0,110,0.5435644431995964,2200,1980,5,26,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1999,2008,0.125,45,41,40,4,5,0,0,0,5,1,0,0,1,0,0,12,0,0.125,0.146,0.271,1,0.091,0.0,0,14,9,0,3.83,0.0,-0.9,0.097,45,3,1,2,33.3,0,0,42,7,123.0,2,0,24,43,9,0,0,0,0.9767317073170732,0.0,-0.511,0.0263405456,0.0610395882,0,151,1.2795965971427896,2600,1980,5,26,29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1999,2009,0.333,6,3,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.333,0.333,0.666,0,0.0,1.0,0,0,1,0,3.67,0.0,0.3,0.233,6,0,0,0,0.0,0,0,4,0,8.0,0,0,0,3,0,0,0,0,1.0,0.0,0.009,0.00213903743,0.0631786256,0,154,0.954434002924965,2600,1980,5,26,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,2013,0.25,30,79,64,5,16,6,1,0,24,4,3,0,8,0,4,24,0,0.375,0.368,0.743,5,0.083,0.0,7,17,7,0,4.16,0.125,8.9,0.259,30,5,2,3,40.0,0,0,25,17,162.0,1,0,35,1,0,0,0,0,0.9541728395061728,0.0,0.231,0.0287172942,0.0287172942,0,79,0.0,2800,1990,2,23,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2013,2014,0.0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0.0,0.0,0,0,2,0,4.0,0.0,-0.4,0.0,2,0,0,0,0.0,0,0,1,1,7.0,0,0,0,1,0,0,0,0,1.0,0.0,-0.045,0.00178071737,0.0304980116,0,83,0.0,2900,1990,2,23,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2013,2018,0.226,39,71,62,14,14,1,0,0,15,1,1,0,6,0,2,13,2,0.242,0.314,0.556,2,0.1,0.143,1,20,15,1,3.97,0.016,4.2,0.202,39,2,0,2,0.0,1,0,27,13,124.33333333333331,0,0,29,2,0,0,0,0,1.0,0.0,0.06,0.00584795322,0.0370987879,0,155,0.0,3600,1990,2,23,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2019,2019,0.186,91,192,177,19,33,8,1,1,46,13,1,1,11,0,2,72,3,0.26,0.241,0.501,7,0.205,0.111,10,42,31,0,4.03,0.073,9.6,0.173,91,4,2,2,50.0,0,1,85,46,431.6666666666666,7,0,222,71,30,0,1,0,0.9563343629343628,0.0,-0.711,0.127564674,0.127564674,0,192,1.4891117388830517,3300,2000,12,3,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2013,2013,0.625,4,8,8,2,5,0,0,0,5,0,0,0,0,0,0,1,1,0.625,0.625,1.25,1,0.0,1.0,0,1,1,0,4.38,0.0,1.9,0.438,4,0,0,0,0.0,0,0,3,1,14.0,0,0,1,5,0,0,0,0,1.0,0.0,0.209,0.0089342693,0.0089342693,0,8,0.5916727785823275,2600,1991,11,13,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011,2014,0.266,55,98,94,23,25,8,0,2,39,7,1,0,2,0,1,34,0,0.415,0.289,0.704,5,0.16,0.25,10,18,17,0,3.78,0.149,10.9,0.234,55,4,3,1,75.0,1,0,52,26,244.0,1,0,56,1,1,0,0,0,0.9899918032786884,0.0,0.233,0.016789621,0.024463765,0,100,0.0,4000,1989,2,25,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2011,2015,0.241,54,141,116,18,28,6,0,1,37,8,3,0,18,0,4,40,4,0.319,0.362,0.681,6,0.226,0.0,7,23,25,3,3.91,0.078,14.2,0.243,54,6,4,2,66.7,1,0,51,31,306.3333333333333,1,0,67,2,2,0,0,0,0.985195865070729,0.0,0.63,0.0132998745,0.0377636395,0,241,0.079490442383934,4000,1989,2,25,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2011,2018,0.216,59,108,97,13,21,4,0,3,34,17,2,1,5,0,3,30,6,0.351,0.274,0.625,3,0.308,0.333,7,27,20,2,3.53,0.134,7.4,0.211,59,10,5,5,50.0,1,0,61,25,251.3333333333333,0,0,69,1,1,0,0,0,0.9920424403183024,0.0,-0.151,0.0313662945,0.0772969032,0,398,0.0669998046083331,3200,1989,2,25,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
